,RANK,PLAYER,YEAR,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1538,1519,EarlWebb,RF,1930,BOS,127,449,61,145,30,6,16,66,44,56,2,1,.323,.385,.523,.908
1539,1519,GooseGoslin,LF,1927,WAS,148,581,96,194,37,15,13,120,50,28,21,6,.334,.392,.516,.908
1540,1541,AndruwJones,CF,2000,ATL,161,656,122,199,36,6,36,104,59,100,21,6,.303,.366,.541,.907
1541,1541,ReggieJackson,RF,1982,CAL,153,530,92,146,17,1,39,101,85,156,4,5,.275,.375,.532,.907
1542,1541,MikeSweeney,1B,1999,KC,150,575,101,185,44,2,22,102,54,48,6,1,.322,.387,.520,.907
1543,1541,MikeSchmidt,1B,1985,PHI,158,549,89,152,31,5,33,93,87,117,1,3,.277,.375,.532,.907
1544,1541,CarlosDelgado,1B,2004,TOR,128,458,74,123,26,0,32,99,69,115,0,1,.269,.372,.535,.907
1545,1541,CitoGaston,CF,1970,SD,146,584,92,186,26,9,29,93,41,142,4,1,.318,.364,.543,.907
1546,1541,HankAaron,RF,1964,MIL,145,570,103,187,30,2,24,95,62,46,22,4,.328,.393,.514,.907
1547,1541,NormSiebern,1B,1962,KCA,162,600,114,185,25,6,25,117,110,88,3,1,.308,.412,.495,.907
1548,1541,WillieMays,CF,1971,SF,136,417,82,113,24,5,18,61,112,123,23,3,.271,.425,.482,.907
1549,1541,RonSanto,3B,1967,CHC,161,586,107,176,23,4,31,98,96,103,1,5,.300,.395,.512,.907
1550,1541,AlbertPujols,1B,2011,STL,147,579,105,173,29,0,37,99,61,58,9,1,.299,.366,.541,.907
1551,1541,RedSchoendienst,2B,1953,STL,146,564,107,193,35,5,15,79,60,23,3,3,.342,.405,.502,.907
1552,1541,KentHrbek,1B,1988,MIN,143,510,75,159,31,0,25,76,67,54,0,3,.312,.387,.520,.907
1553,1541,MarwinGonzalez,LF,2017,HOU,134,455,67,138,34,0,23,90,49,99,8,3,.303,.377,.530,.907
1554,1541,LarryHisle,LF,1978,MIL,142,520,96,151,24,0,34,115,67,90,10,6,.290,.374,.533,.907
1555,1541,JohnnyFrederick,CF,1930,BRO,142,616,120,206,44,11,17,76,46,34,1,--,.334,.383,.524,.907
1556,1541,JohnMcGraw,3B,1895,BAL,96,388,110,143,13,6,2,48,60,9,61,--,.369,.459,.448,.907
1557,1541,PaulWaner,RF,1932,PIT,154,630,107,215,62,10,8,82,56,24,13,--,.341,.397,.510,.907
1558,1541,HughDuffy,X,1895,BSN,130,531,110,187,30,6,9,100,63,16,42,--,.352,.425,.482,.907
1559,1541,EdLennox,3B,1914,PRB,124,430,71,134,25,10,11,84,71,38,19,--,.312,.414,.493,.907
1560,1561,JoséAbreu,1B,2017,CWS,156,621,95,189,43,6,33,102,35,119,3,0,.304,.354,.552,.906
1561,1561,ChaseUtley,2B,2006,PHI,160,658,131,203,40,4,32,102,63,132,15,4,.309,.379,.527,.906
1562,1561,DaveParker,RF,1979,PIT,158,622,109,193,45,7,25,94,67,101,20,4,.310,.380,.526,.906
1563,1561,GeorgeFoster,LF,1978,CIN,158,604,97,170,26,7,40,120,70,138,4,4,.281,.360,.546,.906
1564,1561,ToddHundley,C,1996,NYM,153,540,85,140,32,1,41,112,79,146,1,3,.259,.356,.550,.906
1565,1561,EddieMurray,1B,1985,BAL,156,583,111,173,37,1,31,124,84,68,5,2,.297,.383,.523,.906
1566,1561,FrankHoward,RF,1962,LA,141,493,80,146,25,6,31,119,39,108,1,0,.296,.346,.560,.906
1567,1561,CraigBiggio,2B,1998,HOU,160,646,123,210,51,2,20,88,64,113,50,8,.325,.403,.503,.906
1568,1561,BrianGiles,RF,2005,SD,158,545,92,164,38,8,15,83,119,64,13,5,.301,.423,.483,.906
1569,1561,MickeyTettleton,RF,1995,TEX,134,429,76,102,19,1,32,78,107,110,0,0,.238,.396,.510,.906
1570,1561,AlOliver,1B,1982,MON,160,617,90,204,43,2,22,109,61,59,5,2,.331,.392,.514,.906
1571,1561,RickeyHenderson,LF,1993,TOR,134,481,114,139,22,2,21,59,120,65,53,8,.289,.432,.474,.906
1572,1561,EnosSlaughter,RF,1942,STL,152,591,100,188,31,17,13,98,88,30,9,--,.318,.412,.494,.906
1573,1561,KirkGibson,DH,1994,DET,98,330,71,91,17,2,23,72,42,69,4,5,.276,.358,.548,.906
1574,1561,BobbyAbreu,RF,1998,PHI,151,497,68,155,29,6,17,74,84,133,19,10,.312,.409,.497,.906
1575,1561,HankAaron,RF,1955,MIL,153,602,105,189,37,9,27,106,49,61,3,1,.314,.366,.540,.906
1576,1561,Home RunBaker,3B,1913,PHA,149,564,116,190,34,9,12,117,63,31,34,--,.337,.413,.493,.906
1577,1561,CyWilliams,CF,1922,PHI,151,584,98,180,30,6,26,92,74,49,11,14,.308,.392,.514,.906
1578,1561,TillyWalker,LF,1922,PHA,153,565,111,160,31,4,37,99,61,67,4,3,.283,.357,.549,.906
1579,1561,BillTerry,1B,1927,NYG,150,580,101,189,32,13,20,121,46,53,1,--,.326,.377,.529,.906
1580,1561,RiggsStephenson,LF,1927,CHC,152,579,101,199,46,9,7,82,65,28,8,--,.344,.415,.491,.906
1581,1582,PaulKonerko,1B,2011,CWS,149,543,69,163,25,0,31,105,77,89,1,1,.300,.388,.517,.905
1582,1582,JesseBarfield,RF,1985,TOR,155,539,94,156,34,9,27,84,66,143,22,8,.289,.369,.536,.905
1583,1582,HankAaron,1B,1972,ATL,129,449,75,119,10,0,34,77,93,55,4,0,.265,.391,.514,.905
1584,1582,ChaseUtley,2B,2009,PHI,156,571,112,161,28,4,31,93,88,110,23,0,.282,.397,.508,.905
1585,1582,KentHrbek,1B,1984,MIN,149,559,80,174,31,3,27,107,65,87,1,1,.311,.383,.522,.905
1586,1582,JohnKruk,1B,1993,PHI,150,535,100,169,33,5,14,85,111,87,6,2,.316,.430,.475,.905
1587,1582,MannyMachado,SS,2018,LAD,162,632,84,188,35,3,37,107,70,104,14,2,.297,.367,.538,.905
1588,1582,JoeMedwick,LF,1938,STL,146,590,100,190,47,8,21,122,42,41,0,--,.322,.369,.536,.905
1589,1582,ReggieJackson,RF,1974,OAK,148,506,90,146,25,1,29,93,86,105,25,5,.289,.391,.514,.905
1590,1582,C.J.Cron,1B,2021,COL,142,470,70,132,31,1,28,92,60,117,1,0,.281,.375,.530,.905
1591,1582,ToddHelton,1B,2009,COL,151,544,79,177,38,3,15,86,89,73,0,1,.325,.416,.489,.905
1592,1582,AmosOtis,CF,1978,KC,141,486,74,145,30,7,22,96,66,54,32,8,.298,.380,.525,.905
1593,1582,AndreThornton,1B,1977,CLE,131,433,77,114,20,5,28,70,70,82,3,4,.263,.378,.527,.905
1594,1582,GeorgeBrett,3B,1977,KC,139,564,105,176,32,13,22,88,55,24,14,12,.312,.373,.532,.905
1595,1582,SteveFinley,CF,2000,AZ,152,539,100,151,27,5,35,96,65,87,12,6,.280,.361,.544,.905
1596,1582,FrankRobinson,LF,1957,CIN,150,611,97,197,29,5,29,75,44,92,10,2,.322,.376,.529,.905
1597,1582,DarrellPorter,C,1979,KC,157,533,101,155,23,10,20,112,121,65,3,4,.291,.421,.484,.905
1598,1582,AaronRowand,CF,2004,CWS,140,487,94,151,38,2,24,69,30,91,17,5,.310,.361,.544,.905
1599,1582,BeauBell,RF,1936,SLB,155,616,100,212,40,12,11,123,60,55,4,1,.344,.403,.502,.905
1600,1582,ChickStahl,X,1897,BSN,114,469,112,166,30,13,4,97,38,,18,--,.354,.406,.499,.905
1601,1582,JackieRobinson,2B,1952,BRO,149,510,104,157,17,3,19,75,106,40,24,7,.308,.440,.465,.905
1602,1582,TonyLazzeri,2B,1932,NYY,142,510,79,153,28,16,15,113,82,64,11,11,.300,.399,.506,.905
1603,1582,MooseSolters,LF,1937,CLE,152,589,90,190,42,11,20,109,42,56,6,9,.323,.372,.533,.905
1604,1582,Baby DollJacobson,CF,1925,SLB,142,540,103,184,30,9,15,76,45,26,8,11,.341,.392,.513,.905
1605,1606,MarcellOzuna,DH,2023,ATL,144,530,84,145,29,1,40,100,57,134,0,0,.274,.346,.558,.904
1606,1606,EricKarros,1B,1995,LA,143,551,83,164,29,3,32,105,61,115,4,4,.298,.369,.535,.904
1607,1606,HarmonKillebrew,LF,1963,MIN,142,515,88,133,18,0,45,96,72,105,0,0,.258,.349,.555,.904
1608,1606,EdwinEncarnación,1B,2013,TOR,142,530,90,144,29,1,36,104,82,62,7,1,.272,.370,.534,.904
1609,1606,PedroGuerrero,3B,1983,LA,160,584,87,174,28,6,32,103,72,110,23,7,.298,.373,.531,.904
1610,1606,GeorgeAltman,RF,1962,CHC,147,534,74,170,27,5,22,74,62,89,19,7,.318,.393,.511,.904
1611,1606,ErnieBanks,SS,1960,CHC,156,597,94,162,32,7,41,117,71,69,1,3,.271,.350,.554,.904
1612,1606,GaryGaetti,3B,1988,MIN,133,468,66,141,29,2,28,88,36,85,7,4,.301,.353,.551,.904
1613,1606,KevinMitchell,LF,1990,SF,140,524,90,152,24,2,35,93,58,87,4,7,.290,.360,.544,.904
1614,1606,CleonJones,LF,1969,NYM,137,483,92,164,25,4,12,75,64,60,16,8,.340,.422,.482,.904
1615,1606,MickeyMantle,CF,1959,NYY,144,541,104,154,23,4,31,75,93,126,21,3,.285,.390,.514,.904
1616,1606,KenSingleton,RF,1973,MON,162,560,100,169,26,2,23,103,123,91,2,8,.302,.425,.479,.904
1617,1606,JeffBagwell,1B,1993,HOU,142,535,76,171,37,4,20,88,62,73,13,4,.320,.388,.516,.904
1618,1606,GregVaughn,LF,1996,SD,145,516,98,134,19,1,41,117,82,130,9,3,.260,.365,.539,.904
1619,1606,AdriánGonzález,1B,2010,SD,160,591,87,176,33,0,31,101,93,114,0,0,.298,.393,.511,.904
1620,1606,BoogPowell,1B,1966,BAL,140,491,78,141,18,0,34,109,67,125,0,4,.287,.372,.532,.904
1621,1606,HackWilson,RF,1932,BRO,135,481,77,143,37,5,23,123,51,85,2,--,.297,.366,.538,.904
1622,1606,RossYoungs,RF,1920,NYG,153,581,92,204,27,14,6,78,75,55,18,18,.351,.427,.477,.904
1623,1606,BabeHerman,RF,1928,BRO,134,486,64,165,37,6,12,91,38,36,1,--,.340,.390,.514,.904
1624,1606,MickeyCochrane,C,1927,PHA,126,432,80,146,20,6,12,80,50,7,9,6,.338,.409,.495,.904
1625,1626,VinnyCastilla,3B,1997,COL,159,612,94,186,25,2,40,113,44,108,2,4,.304,.356,.547,.903
1626,1626,ReggieSanders,LF,1999,SD,133,478,92,136,24,7,26,72,65,108,36,13,.285,.376,.527,.903
1627,1626,RyanBraun,LF,2016,MIL,135,511,80,156,23,3,30,91,46,98,16,5,.305,.365,.538,.903
1628,1626,BradHawpe,RF,2009,COL,145,501,82,143,42,3,23,86,79,145,1,3,.285,.384,.519,.903
1629,1626,KrisBryant,3B,2019,CHC,147,543,108,153,35,1,31,77,74,145,4,0,.282,.382,.521,.903
1630,1626,RalphKiner,LF,1953,CHC,158,562,100,157,20,3,35,116,100,88,2,1,.279,.391,.512,.903
1631,1626,MikePiazza,C,2002,NYM,135,478,69,134,23,2,33,98,57,82,0,3,.280,.359,.544,.903
1632,1626,WallyBerger,CF,1935,BSN,150,589,91,174,39,4,34,130,50,80,3,--,.295,.355,.548,.903
1633,1626,JoseAltuve,2B,2019,HOU,124,500,89,149,27,3,31,74,41,82,6,5,.298,.353,.550,.903
1634,1626,LukeScott,DH,2010,BAL,131,447,70,127,29,1,27,72,59,98,2,0,.284,.368,.535,.903
1635,1626,EllisBurks,DH,2002,CLE,138,518,92,156,28,0,32,91,44,108,2,3,.301,.362,.541,.903
1636,1626,NormCash,1B,1971,DET,135,452,72,128,10,3,32,91,59,86,1,0,.283,.372,.531,.903
1637,1626,KirbyPuckett,CF,1986,MIN,161,680,119,223,37,6,31,96,34,99,20,12,.328,.366,.537,.903
1638,1626,HarveyKuenn,RF,1959,DET,139,561,99,198,42,7,9,71,48,37,7,2,.353,.402,.501,.903
1639,1626,JohnnyHopp,CF,1944,STL,139,527,106,177,35,9,11,72,58,47,15,--,.336,.404,.499,.903
1640,1626,GavvyCravath,RF,1915,PHI,150,522,89,149,31,7,24,115,86,77,11,9,.285,.393,.510,.903
1641,1626,HeinieManush,LF,1932,WAS,149,625,121,214,41,14,14,116,36,29,7,2,.342,.383,.520,.903
1642,1626,Baby DollJacobson,CF,1920,SLB,154,609,97,216,34,14,9,122,46,37,11,7,.355,.402,.501,.903
1643,1626,GlennWright,SS,1930,BRO,135,532,83,171,28,12,22,126,32,70,2,--,.321,.360,.543,.903
1644,1626,JesseBurkett,X,1900,STL,141,559,88,203,11,15,7,68,62,,32,--,.363,.429,.474,.903
1645,1626,EddieCollins,2B,1925,CWS,118,425,80,147,26,3,3,80,87,8,19,6,.346,.461,.442,.903
1646,1626,BobMeusel,LF,1927,NYY,135,516,75,174,47,9,8,103,45,58,24,10,.337,.393,.510,.903
1647,1648,JohnMilligan,C,1891,PHA,118,455,75,138,35,12,11,106,56,51,2,--,.303,.397,.505,.902
1648,1648,LennyDykstra,CF,1993,PHI,161,637,143,194,44,6,19,66,129,64,37,12,.305,.420,.482,.902
1649,1648,HaroldBaines,RF,1984,CWS,147,569,72,173,28,10,29,94,54,75,1,2,.304,.361,.541,.902
1650,1648,JasonThompson,1B,1982,PIT,156,550,87,156,32,0,31,101,101,107,1,0,.284,.391,.511,.902
1651,1648,SeanCasey,1B,2000,CIN,133,480,69,151,33,2,20,85,52,80,1,0,.315,.385,.517,.902
1652,1648,GeorgeBrett,1B,1990,KC,142,544,82,179,45,7,14,87,56,63,9,2,.329,.387,.515,.902
1653,1648,PatBurrell,LF,2007,PHI,155,472,77,121,26,0,30,97,114,120,0,0,.256,.400,.502,.902
1654,1648,HaroldBaines,DH,1996,CWS,143,495,80,154,29,0,22,95,73,62,3,1,.311,.399,.503,.902
1655,1648,BrianJordan,RF,1998,STL,150,564,100,178,34,7,25,91,40,66,17,5,.316,.368,.534,.902
1656,1648,KeithHernandez,1B,1980,STL,159,595,111,191,39,8,16,99,86,73,14,8,.321,.408,.494,.902
1657,1648,BillyWilliams,LF,1964,CHC,162,645,100,201,39,2,33,98,59,84,10,7,.312,.370,.532,.902
1658,1648,KirbyPuckett,RF,1994,MIN,108,439,79,139,32,3,20,112,28,47,6,3,.317,.362,.540,.902
1659,1648,JackieJensen,RF,1956,BOS,151,578,80,182,23,11,20,97,89,43,11,3,.315,.405,.497,.902
1660,1648,SamCrawford,RF,1901,CIN,131,515,91,170,20,16,16,104,37,,13,--,.330,.378,.524,.902
1661,1648,BrianRoberts,2B,2005,BAL,143,561,92,176,45,7,18,73,67,83,27,10,.314,.387,.515,.902
1662,1648,LarryHisle,LF,1977,MIN,141,546,95,165,36,3,28,119,56,106,21,10,.302,.369,.533,.902
1663,1648,StanMusial,1B,1947,STL,149,587,113,183,30,13,19,95,80,24,4,--,.312,.398,.504,.902
1664,1648,BobbyGrich,2B,1979,CAL,153,534,78,157,30,5,30,101,59,84,1,0,.294,.365,.537,.902
1665,1648,GeorgeKelly,1B,1924,NYG,144,571,91,185,37,9,21,136,38,52,7,2,.324,.371,.531,.902
1666,1648,MickeyCochrane,C,1935,DET,115,411,93,131,33,3,5,47,96,15,5,5,.319,.452,.450,.902
1667,1668,JimmyRyan,X,1889,CHI,135,576,140,187,31,14,17,72,70,62,45,--,.325,.403,.498,.901
1668,1668,DonBaylor,LF,1979,CAL,162,628,120,186,33,3,36,139,71,51,22,12,.296,.371,.530,.901
1669,1668,EdwinEncarnación,1B,2014,TOR,128,477,75,128,27,2,34,98,62,82,2,0,.268,.354,.547,.901
1670,1668,DaveOrr,1B,1884,NYM,110,458,82,162,32,13,9,112,5,,--,--,.354,.362,.539,.901
1671,1668,BretBoone,2B,2003,SEA,159,622,111,183,35,5,35,117,68,125,16,3,.294,.366,.535,.901
1672,1668,JoshHamilton,CF,2008,TEX,156,624,98,190,35,5,32,130,64,126,9,1,.304,.371,.530,.901
1673,1668,DaveFoutz,X,1887,STL,102,423,79,151,26,13,4,108,23,,22,--,.357,.393,.508,.901
1674,1668,DaveOrr,1B,1885,NYM,107,444,76,152,29,21,6,77,8,,--,--,.342,.358,.543,.901
1675,1668,JustinUpton,LF,2017,LAA,152,557,100,152,44,0,35,109,74,180,14,5,.273,.361,.540,.901
1676,1668,JeffBurroughs,RF,1974,TEX,152,554,84,167,33,2,25,118,91,104,2,3,.301,.397,.504,.901
1677,1668,HenryLarkin,1B,1890,CLI,125,506,93,167,32,15,5,112,65,18,5,--,.330,.419,.482,.901
1678,1668,BoogPowell,1B,1975,CLE,134,435,64,129,18,0,27,86,59,72,1,3,.297,.377,.524,.901
1679,1668,GilHodges,1B,1951,BRO,158,582,118,156,25,3,40,103,93,99,9,7,.268,.374,.527,.901
1680,1668,KirbyPuckett,CF,1987,MIN,157,624,96,207,32,5,28,99,32,91,12,7,.332,.367,.534,.901
1681,1668,RoySievers,LF,1958,WAS,148,550,85,162,18,1,39,108,53,63,3,1,.295,.357,.544,.901
1682,1668,RaulMondesi,RF,1997,LA,159,616,95,191,42,5,30,87,44,105,32,15,.310,.360,.541,.901
1683,1668,JohnnyMize,1B,1942,NYG,142,541,97,165,25,7,26,110,60,39,3,--,.305,.380,.521,.901
1684,1668,JohnMayberry,1B,1972,KC,149,503,65,150,24,3,25,100,78,74,0,2,.298,.394,.507,.901
1685,1668,IkeBoone,RF,1924,BOS,128,487,72,164,31,4,13,98,54,32,2,2,.337,.404,.497,.901
1686,1668,BarryLarkin,SS,1998,CIN,145,538,93,166,34,10,17,72,79,69,26,3,.309,.397,.504,.901
1687,1668,KipSelbach,X,1894,WAS,97,372,69,114,21,17,7,71,51,20,21,--,.306,.390,.511,.901
1688,1668,HankLeiber,CF,1935,NYG,154,613,110,203,37,4,22,107,48,29,0,--,.331,.389,.512,.901
1689,1668,IvalGoodman,RF,1938,CIN,145,568,103,166,27,10,30,92,53,51,3,--,.292,.368,.533,.901
1690,1668,MikeGriffin,X,1895,BRO,131,519,140,173,38,7,4,65,93,29,27,--,.333,.444,.457,.901
1691,1668,HeinieManush,LF,1929,SLB,142,574,85,204,45,10,6,81,43,24,9,8,.355,.401,.500,.901
1692,1668,GavvyCravath,RF,1914,PHI,149,499,76,149,27,8,19,100,83,72,14,--,.299,.402,.499,.901
1693,1694,AramisRamirez,3B,2012,MIL,149,570,92,171,50,3,27,105,44,82,9,2,.300,.360,.540,.900
1694,1694,JoshDonaldson,3B,2019,ATL,155,549,96,142,33,0,37,94,100,155,4,2,.259,.379,.521,.900
1695,1694,BobbyBonds,RF,1973,SF,160,643,131,182,34,4,39,96,87,148,43,17,.283,.370,.530,.900
1696,1694,JimmyWolf,X,1890,LOU,134,543,100,197,29,11,4,98,43,,46,--,.363,.421,.479,.900
1697,1694,BryceHarper,DH,2023,PHI,126,457,84,134,29,1,21,72,80,119,11,3,.293,.401,.499,.900
1698,1694,OrlandoCepeda,1B,1964,SF,142,529,75,161,27,2,31,97,43,83,9,4,.304,.361,.539,.900
1699,1694,DennyLyons,3B,1891,STL,120,451,124,142,24,3,11,84,88,58,9,--,.315,.445,.455,.900
1700,1694,BillNicholson,RF,1940,CHC,135,491,78,146,27,7,25,98,50,67,2,--,.297,.366,.534,.900
1701,1694,PaulGoldschmidt,1B,2016,AZ,158,579,106,172,33,3,24,95,110,150,32,5,.297,.411,.489,.900
1702,1694,BeauBell,RF,1937,SLB,156,642,82,218,51,8,14,117,53,54,2,2,.340,.391,.509,.900
1703,1694,MikeSchmidt,3B,1976,PHI,160,584,112,153,31,4,38,107,100,149,14,9,.262,.376,.524,.900
1704,1694,RobertoAlomar,2B,1993,TOR,153,589,109,192,35,6,17,93,80,67,55,15,.326,.408,.492,.900
1705,1694,PinkyHiggins,3B,1934,PHA,144,543,89,179,37,6,16,90,56,70,9,2,.330,.392,.508,.900
1706,1694,DerekJeter,SS,2006,NYY,154,623,118,214,39,3,14,97,69,102,34,5,.343,.417,.483,.900
1707,1694,JoeGordon,2B,1942,NYY,147,538,88,173,29,4,18,103,79,95,12,6,.322,.409,.491,.900
1708,1694,LaurenceMiller,LF,1922,CHC,122,466,61,164,28,5,12,78,26,39,3,3,.352,.389,.511,.900
1709,1694,SocksSeybold,RF,1901,PHA,114,449,74,150,24,14,8,90,40,,15,--,.334,.397,.503,.900
1710,1711,VernonWells,CF,2006,TOR,154,611,91,185,40,5,32,106,54,90,17,4,.303,.357,.542,.899
1711,1711,AnthonyRizzo,1B,2017,CHC,157,572,99,156,32,3,32,109,91,90,10,4,.273,.392,.507,.899
1712,1711,RobinsonCanó,2B,2013,NYY,160,605,81,190,41,0,27,107,65,85,7,1,.314,.383,.516,.899
1713,1711,BobbyHigginson,LF,1997,DET,146,546,94,163,30,5,27,101,70,85,12,7,.299,.379,.520,.899
1714,1711,MattStairs,RF,1999,OAK,146,531,94,137,26,3,38,102,89,124,2,7,.258,.366,.533,.899
1715,1711,RedRolfe,3B,1939,NYY,152,648,139,213,46,10,14,80,81,41,7,6,.329,.404,.495,.899
1716,1711,RaulIbanez,LF,2009,PHI,134,500,93,136,32,3,34,93,56,119,4,0,.272,.347,.552,.899
1717,1711,JackClark,RF,1980,SF,127,437,77,124,20,8,22,82,74,52,2,5,.284,.382,.517,.899
1718,1711,CapAnson,1B,1888,CHI,134,515,101,177,20,12,12,84,47,24,28,--,.344,.400,.499,.899
1719,1711,JeffConine,LF,1995,FLA,133,483,72,146,26,2,25,105,66,94,2,0,.302,.379,.520,.899
1720,1711,TreyMancini,RF,2019,BAL,154,602,106,175,38,2,35,97,63,143,1,0,.291,.364,.535,.899
1721,1711,DavidOrtiz,DH,2010,BOS,145,518,86,140,36,1,32,102,82,145,0,1,.270,.370,.529,.899
1722,1711,AnthonyRizzo,1B,2015,CHC,160,586,94,163,38,3,31,101,78,105,17,6,.278,.387,.512,.899
1723,1711,AdamDunn,1B,2008,AZ,158,517,79,122,23,0,40,100,122,164,2,1,.236,.386,.513,.899
1724,1711,TommyHarper,3B,1970,MIL,154,604,104,179,35,4,31,82,77,107,38,16,.296,.377,.522,.899
1725,1711,JoeMorgan,2B,1973,CIN,157,576,116,167,35,2,26,82,111,61,67,15,.290,.406,.493,.899
1726,1711,BarneyMcCosky,CF,1940,DET,143,589,123,200,39,19,4,57,67,41,13,9,.340,.408,.491,.899
1727,1711,BobSkinner,LF,1962,PIT,144,510,87,154,29,7,20,75,76,89,10,4,.302,.395,.504,.899
1728,1711,GeorgeSpringer,CF,2020,HOU,51,189,37,50,6,2,14,32,24,38,1,2,.265,.359,.540,.899
1729,1711,ElmerFlick,RF,1901,PHI,138,540,112,180,32,17,8,88,52,,30,--,.333,.399,.500,.899
1730,1711,JimmyBannon,X,1895,BSN,123,489,101,171,35,5,6,74,54,31,28,--,.350,.420,.479,.899
1731,1711,JoeCronin,SS,1939,BOS,143,520,97,160,33,3,19,107,87,48,6,6,.308,.407,.492,.899
1732,1733,MichaelYoung,SS,2005,TEX,159,668,114,221,40,5,24,91,58,91,5,2,.331,.385,.513,.898
1733,1733,RyanZimmerman,3B,2010,WSH,142,525,85,161,32,0,25,85,69,98,4,1,.307,.388,.510,.898
1734,1733,JeffConine,LF,1994,FLA,115,451,60,144,27,6,18,82,40,92,1,2,.319,.373,.525,.898
1735,1733,GeorgeBrett,1B,1988,KC,157,589,90,180,42,3,24,103,82,51,14,3,.306,.389,.509,.898
1736,1733,DavidSegui,1B,2000,CLE,150,574,93,192,42,1,19,103,53,84,0,1,.334,.388,.510,.898
1737,1733,DaveParker,RF,1975,PIT,148,558,75,172,35,10,25,101,38,89,8,6,.308,.357,.541,.898
1738,1733,TedKluszewski,1B,1956,CIN,138,517,91,156,14,1,35,102,49,31,1,0,.302,.362,.536,.898
1739,1733,JustinUpton,RF,2011,AZ,159,592,105,171,39,5,31,88,59,126,21,9,.289,.369,.529,.898
1740,1733,WallyBerger,CF,1934,BSN,150,615,92,183,35,8,34,121,49,65,2,--,.298,.352,.546,.898
1741,1733,DannyTartabull,RF,1992,NYY,123,421,72,112,19,0,25,85,103,115,2,2,.266,.409,.489,.898
1742,1733,BobHorner,3B,1979,ATL,121,487,66,153,15,1,33,98,22,74,0,2,.314,.346,.552,.898
1743,1733,NolanArenado,3B,2015,COL,157,616,97,177,43,4,42,130,34,110,2,5,.287,.323,.575,.898
1744,1733,JustinUpton,RF,2009,AZ,138,526,84,158,30,7,26,86,55,137,20,5,.300,.366,.532,.898
1745,1733,EricChavez,3B,2004,OAK,125,475,87,131,20,0,29,77,95,99,6,3,.276,.397,.501,.898
1746,1733,AramisRamirez,3B,2008,CHC,149,554,97,160,44,1,27,111,74,94,2,2,.289,.380,.518,.898
1747,1733,TroyGlaus,3B,2001,ANA,161,588,100,147,38,2,41,108,107,158,10,3,.250,.367,.531,.898
1748,1733,BradFullmer,DH,2000,TOR,133,482,76,142,29,1,32,104,30,68,3,1,.295,.340,.558,.898
1749,1733,LarryWalker,RF,2003,COL,143,454,86,129,25,7,16,79,98,87,7,4,.284,.422,.476,.898
1750,1733,RustyGreer,LF,1999,TEX,147,556,107,167,41,3,20,101,96,67,2,2,.300,.405,.493,.898
1751,1733,BradHawpe,RF,2006,COL,150,499,67,146,33,6,22,84,74,123,5,5,.293,.383,.515,.898
1752,1733,BobElliott,3B,1950,BSN,142,531,94,162,28,5,24,107,68,67,2,--,.305,.386,.512,.898
1753,1733,BobbyMurcer,CF,1972,NYY,153,585,102,171,30,7,33,96,63,67,11,9,.292,.361,.537,.898
1754,1733,AustinRiley,3B,2021,ATL,160,590,91,179,33,1,33,107,52,168,0,1,.303,.367,.531,.898
1755,1733,BillHall,SS,2006,MIL,148,537,101,145,39,4,35,85,63,162,8,9,.270,.345,.553,.898
1756,1733,RayDurham,2B,2006,SF,137,498,79,146,30,7,26,93,51,61,7,2,.293,.360,.538,.898
1757,1733,MelOtt,RF,1941,NYG,148,525,89,150,29,0,27,90,100,68,5,--,.286,.403,.495,.898
1758,1733,EdMcKean,SS,1895,CLE,131,565,131,193,32,17,8,119,45,25,12,--,.342,.397,.501,.898
1759,1733,BobMeusel,RF,1922,NYY,121,473,61,151,26,11,16,84,40,58,13,8,.319,.376,.522,.898
1760,1733,CurtWalker,RF,1922,PHI,148,581,102,196,36,11,12,89,56,46,11,4,.337,.399,.499,.898
1761,1733,GeorgeMcQuinn,1B,1939,SLB,154,617,101,195,37,13,20,94,65,42,6,5,.316,.383,.515,.898
1762,1733,BobbyWallace,3B,1897,CLE,130,516,99,173,33,21,4,112,48,,14,--,.335,.394,.504,.898
1763,1764,MannyMachado,3B,2022,SD,150,578,100,172,37,1,32,102,63,133,9,1,.298,.366,.531,.897
1764,1764,TommyMcCarthy,X,1890,STL,133,548,137,192,28,9,6,69,66,,83,--,.350,.430,.467,.897
1765,1764,HenryLarkin,X,1885,PHA,108,453,114,149,37,14,8,88,26,,--,--,.329,.372,.525,.897
1766,1764,MookieBetts,RF,2016,BOS,158,672,122,214,42,5,31,113,49,80,26,4,.318,.363,.534,.897
1767,1764,JeffBagwell,1B,2003,HOU,160,605,109,168,28,2,39,100,88,119,11,4,.278,.373,.524,.897
1768,1764,KenCaminiti,3B,1997,SD,137,486,92,141,28,0,26,90,80,118,11,2,.290,.389,.508,.897
1769,1764,NickMarkakis,RF,2008,BAL,157,595,106,182,48,1,20,87,99,113,10,7,.306,.406,.491,.897
1770,1764,FreddieFreeman,1B,2013,ATL,147,551,89,176,27,2,23,109,66,121,1,0,.319,.396,.501,.897
1771,1764,MattCarpenter,1B,2018,STL,156,564,111,145,42,0,36,81,102,158,4,1,.257,.374,.523,.897
